level,lemma,pos,article,plural,gender,translation_pt,example_de,example_pt,topic,difficulty_note
A1,Haus,noun,das,Häuser,neutro,casa/lar,"Das Haus ist groß und hell.","A casa é grande e luminosa.",Wohnen,Plural com Umlaut: Haus→Häuser
A1,Wohnung,noun,die,Wohnungen,fem,apartamento,"Meine Wohnung hat drei Zimmer.","O meu apartamento tem três quartos.",Wohnen,Sufixo -ung sempre feminino
A1,Zimmer,noun,das,Zimmer,neutro,quarto/divisão,"Das Zimmer ist sehr klein.","O quarto é muito pequeno.",Wohnen,Plural igual ao singular
A1,Küche,noun,die,Küchen,fem,cozinha,"Die Küche ist modern und groß.","A cozinha é moderna e grande.",Wohnen,Do latim coquina
A1,Badezimmer,noun,das,Badezimmer,neutro,casa de banho,"Das Badezimmer ist rechts.","A casa de banho fica à direita.",Wohnen,Composto: Bad + Zimmer
A1,Tisch,noun,der,Tische,masc,mesa,"Der Tisch steht im Esszimmer.","A mesa fica na sala de jantar.",Wohnen,Plural com -e
A1,Stuhl,noun,der,Stühle,masc,cadeira,"Der Stuhl ist aus Holz.","A cadeira é de madeira.",Wohnen,Plural com Umlaut + -e
A1,Bett,noun,das,Betten,neutro,cama,"Das Bett ist sehr bequem.","A cama é muito confortável.",Wohnen,Plural com -en
A1,Fenster,noun,das,Fenster,neutro,janela,"Das Fenster ist offen.","A janela está aberta.",Wohnen,Do latim fenestra; plural igual
A1,Tür,noun,die,Türen,fem,porta,"Die Tür ist zu.","A porta está fechada.",Wohnen,Não confundir com Tor (portão)
A1,Mutter,noun,die,Mütter,fem,mãe,"Meine Mutter kocht sehr gut.","A minha mãe cozinha muito bem.",Familie,Plural com Umlaut
A1,Vater,noun,der,Väter,masc,pai,"Mein Vater arbeitet in der Stadt.","O meu pai trabalha na cidade.",Familie,Plural com Umlaut
A1,Bruder,noun,der,Brüder,masc,irmão,"Mein Bruder ist älter als ich.","O meu irmão é mais velho do que eu.",Familie,Plural com Umlaut
A1,Schwester,noun,die,Schwestern,fem,irmã,"Meine Schwester studiert Medizin.","A minha irmã estuda Medicina.",Familie,Plural com -n
A1,Kind,noun,das,Kinder,neutro,criança,"Das Kind spielt im Garten.","A criança brinca no jardim.",Familie,Plural com -er
